"WINDMILL_ID";"MONTH";"YEAR";"ISPERFORMANCE";"PLANPERFORMANCE";"UNIT";"IS_PERFORMANCE(PCT)"
2;1;"2019";1242763.0;1517798.0;1;0.0
2;1;"2020";1740879.0;1517798.0;1;0.0
2;1;"2021";1108739.0;1517798.0;1;0.0
2;2;"2019";1190516.0;1192808.0;1;0.0
2;2;"2020";2166373.0;1192808.0;1;0.0
2;2;"2021";942533.0;1192808.0;1;0.0
2;3;"2019";1638668.0;1051508.0;1;0.0
2;3;"2020";1719152.0;1051508.0;1;0.0
2;3;"2021";1011710.0;1051508.0;1;0.0
2;4;"2019";1018948.0;853688.0;1;0.0
2;4;"2020";960144.0;853688.0;1;0.0
2;4;"2021";692782.0;853688.0;1;0.0
2;5;"2019";776106.0;777150.0;1;0.0
2;5;"2020";863929.0;777150.0;1;0.0
2;5;"2021";961050.0;777150.0;1;0.0
2;6;"2019";848019.0;628785.0;1;0.0
2;6;"2020";728561.0;628785.0;1;0.0
2;6;"2021";407498.0;628785.0;1;0.0
2;7;"2019";656115.0;584040.0;1;0.0
2;7;"2020";743882.0;584040.0;1;0.0
2;7;"2021";599474.0;584040.0;1;0.0
2;8;"2019";926552.0;654690.0;1;0.0
2;8;"2020";811305.0;654690.0;1;0.0
2;8;"2021";704928.0;654690.0;1;0.0
2;9;"2019";1007093.0;733583.0;1;0.0
2;9;"2020";781564.0;733583.0;1;0.0
2;9;"2021";615504.0;733583.0;1;0.0
2;10;"2019";1243330.0;996165.0;1;0.0
2;10;"2020";1697973.0;996165.0;1;0.0
2;10;"2021";1364956.0;996165.0;1;0.0
2;11;"2019";1105119.0;1116270.0;1;0.0
2;11;"2020";1412296.0;1116270.0;1;0.0
2;11;"2021";0.0;1116270.0;1;0.0
2;12;"2019";1532437.0;1668518.0;1;0.0
2;12;"2020";1246820.0;1668518.0;1;0.0
2;12;"2021";0.0;1668518.0;1;0.0
3;1;"2019";1552048.0;1517798.0;1;0.0
3;1;"2020";1808553.0;1517798.0;1;0.0
3;1;"2021";1091967.0;1517798.0;1;0.0
3;2;"2019";1213379.0;1192808.0;1;0.0
3;2;"2020";2021972.0;1192808.0;1;0.0
3;2;"2021";1082285.0;1192808.0;1;0.0
3;3;"2019";1634962.0;1051508.0;1;0.0
3;3;"2020";1534654.0;1051508.0;1;0.0
3;3;"2021";1026312.0;1051508.0;1;0.0
3;4;"2019";1165051.0;853688.0;1;0.0
3;4;"2020";863885.0;853688.0;1;0.0
3;4;"2021";682756.0;853688.0;1;0.0
3;5;"2019";827047.0;777150.0;1;0.0
